,Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Assay Type,Assay Description,Assay Organism,Assay Variant Mutation,Target Name,Target Organism,Document Journal,pChEMBL,Canonical_Smiles
1173,CHEMBL186155,CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)C1CCC[C@H]1CO)C(C)C,IC50,'=',0.7,nM,9.15,,F,In vitro inhibitory activity against Escherichia coli,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,9.154901959985743,CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)C1CCC[C@H]1CO)C(C)C
1264,CHEMBL369559,CC(C)[C@H](NC(=O)C[C@H](NC(=O)/C=C/c1cccc(F)n1)c1ccccc1)C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C,IC50,'=',1.0,nM,9.0,,F,Inhibitory concentration of the compound against Escherichia coli was determined,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,9.0,CC(C)[C@H](NC(=O)C[C@H](NC(=O)/C=C/c1cccc(F)n1)c1ccccc1)C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C
296,CHEMBL362048,CC(C)[C@H](NC(=O)C[C@H](NC(=O)/C=C/C(=O)O)c1ccccc1)C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C,IC50,'=',2.0,nM,8.7,,F,Inhibitory concentration of the compound against Escherichia coli was determined,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,8.698970004336019,CC(C)[C@H](NC(=O)C[C@H](NC(=O)/C=C/C(=O)O)c1ccccc1)C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C
269,CHEMBL180976,COc1cccc(/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]2C(=O)NC(=O)[C@H]2C)C(C)C)c2ccccc2)c1,IC50,'=',4.0,nM,8.4,,F,Inhibitory concentration of the compound against Escherichia coli was determined,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,8.397940008672037,COc1cccc(/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]2C(=O)NC(=O)[C@H]2C)C(C)C)c2ccccc2)c1
1474,CHEMBL4175069,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]2C[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H]3C[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]4C[C@@H](C(=O)NCCC(N)=O)N(CCCNC(=N)N)C4)N(CCCNC(=N)N)C3)N(CCCNC(=N)N)C2)N(CCCNC(=N)N)C1,IC50,'=',5.3,nM,8.28,,F,Antibacterial activity against Escherichia coli NCIM 2688 after 8 hrs by serial dilution method,Escherichia coli,,Escherichia coli,Escherichia coli,Eur J Med Chem,8.275724130399212,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]2C[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H]3C[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]4C[C@@H](C(=O)NCCC(N)=O)N(CCCNC(=N)N)C4)N(CCCNC(=N)N)C3)N(CCCNC(=N)N)C2)N(CCCNC(=N)N)C1
1141,CHEMBL376022,CC(C)Cc1cc2c(OCC(=O)NCCN(C)C)c(c1)Cc1cc(CC(C)C)cc(c1OCC(=O)NCCN(C)C)Cc1cc(C(C)C)cc(c1OCC(=O)NCCN(C)C)Cc1cc(CC(C)C)cc(c1OCC(=O)NCCN(C)C)C2,IC50,'=',6.0,nM,8.22,,F,Antibacterial activity against Escherichia coli 055:B5 assessed as LPS neutralisation by LAL assay,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,8.221848749616356,CC(C)Cc1cc2c(OCC(=O)NCCN(C)C)c(c1)Cc1cc(CC(C)C)cc(c1OCC(=O)NCCN(C)C)Cc1cc(C(C)C)cc(c1OCC(=O)NCCN(C)C)Cc1cc(CC(C)C)cc(c1OCC(=O)NCCN(C)C)C2
1116,CHEMBL181030,CC(C)[C@H](NC(=O)C[C@H](NC(=O)/C=C/c1c[nH]cn1)c1ccccc1)C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C,IC50,'=',6.0,nM,8.22,,F,Inhibitory concentration of the compound against Escherichia coli was determined,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,8.221848749616356,CC(C)[C@H](NC(=O)C[C@H](NC(=O)/C=C/c1c[nH]cn1)c1ccccc1)C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C
1371,CHEMBL181839,C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C)C(C)C)c1ccccc1,IC50,'=',6.0,nM,8.22,,F,Inhibitory concentration of the compound against Escherichia coli was determined,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,8.221848749616356,C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C)C(C)C)c1ccccc1
1032,CHEMBL180863,CC(C)[C@H](NC(=O)C[C@H](NC(=O)/C=C/c1ccc(Cl)c(Cl)c1)c1ccccc1)C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C,IC50,'=',7.0,nM,8.15,,F,Inhibitory concentration of the compound against Escherichia coli was determined,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,8.154901959985743,CC(C)[C@H](NC(=O)C[C@H](NC(=O)/C=C/c1ccc(Cl)c(Cl)c1)c1ccccc1)C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C
935,CHEMBL4164425,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]2C[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H]3C[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]4C[C@@H](C(=O)NCCN)N(CCCN)C4)N(CCCN)C3)N(CCCN)C2)N(CCCN)C1,IC50,'=',7.0,nM,8.15,,F,Antibacterial activity against Escherichia coli NCIM 2688 after 8 hrs by serial dilution method,Escherichia coli,,Escherichia coli,Escherichia coli,Eur J Med Chem,8.154901959985743,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]2C[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H]3C[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]4C[C@@H](C(=O)NCCN)N(CCCN)C4)N(CCCN)C3)N(CCCN)C2)N(CCCN)C1
