,Logistic,KNN,SVM,RF,ExT,Ada,Grad,XGB,CatB,MLP
0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,0.5,0.0,0.5,0.5,0.5,0.4,0.8,0.0,0.5,0.5
2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5,0.0,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5
4,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
5,0.5714285714285714,0.0,0.8,0.5714285714285714,0.5,0.5714285714285714,0.4,0.5714285714285714,0.5714285714285714,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5,0.0,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5
8,1.0,0.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.5,0.0,0.5,0.5,0.5,0.8,0.4,0.5,0.5,0.5
11,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
12,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.4,0.6666666666666666,0.6666666666666666,0.6666666666666666
13,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0
14,0.5,0.0,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4
15,0.8,0.0,0.8,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
16,0.6666666666666666,0.0,0.8,0.8,0.8,0.6666666666666666,1.0,0.8,0.8,0.6666666666666666
17,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
18,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.5,0.0,0.5,0.5,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.4,0.4
20,0.4,0.0,0.4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.4,0.4,0.4
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.6666666666666666,0.0,0.8,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.5714285714285714
23,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
24,0.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
27,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
28,0.6666666666666666,0.0,0.6666666666666666,0.5,0.4,0.5,0.3333333333333333,0.2857142857142857,0.4,0.4
29,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
