,Logistic,KNN,SVM,RF,ExT,Ada,Grad,XGB,CatB,MLP
0,0.8,0.8,0.8,0.8,0.8,0.6666666666666666,0.8,0.8,0.8,0.8
1,0.6666666666666666,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666
2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3,0.8,0.8,0.5,0.8,0.5,0.6666666666666666,0.8,0.8,0.8,0.6666666666666666
4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7,0.6666666666666666,0.6666666666666666,0.8,0.8,0.8,0.5714285714285714,0.6666666666666666,0.8,0.8,0.6666666666666666
8,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.6666666666666666
10,0.8,0.8,0.8,0.8,0.8,0.6666666666666666,0.8,0.8,0.8,0.8
11,0.4,0.5,0.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5
12,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5
13,0.8,0.8,0.8,0.8,0.8,0.8,0.6666666666666666,0.8,0.8,0.8
14,0.8,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.5,0.5
15,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.4,0.5,0.4
16,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.0,0.8,0.8,1.0,1.0,0.75,1.0,1.0,1.0,1.0
18,0.3333333333333333,0.3333333333333333,0.4,0.4,0.2857142857142857,0.5,0.25,0.2857142857142857,0.3333333333333333,0.3333333333333333
19,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8
23,1.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
24,0.8,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.5,0.5
25,0.6666666666666666,0.6666666666666666,0.8,0.8,0.8,0.6666666666666666,0.8,0.8,0.6666666666666666,0.6666666666666666
26,0.4,0.5,0.5,0.5,0.4,0.6666666666666666,0.5,0.5,0.5,0.5
27,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.4
28,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5
29,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
