,Avalon,Cats2d,ECFP2,ECFP4,ECFP6,MACCs,Map4,Mordred,Ph4,Pubchem,RDK5,RDK6,RDK7,RDKdes,Secfp
Avalon,1.0,8.820597952074254e-21,2.3697096172937399e-07,7.438662186559387e-05,1.179798859856848e-05,1.0,1.0,0.2461745359037142,0.025237636096828005,1.0,1.0,1.0,1.0,0.006945007790735048,1.0
Cats2d,8.820597952074254e-21,1.0,0.0017605567014785293,3.0317016813069923e-09,6.876490997376302e-13,1.901826342566612e-15,2.4171458285562216e-19,1.2352036062450596e-13,1.1582631305157963e-05,3.2585157019372693e-18,2.4515574012133096e-10,1.0658010404407512e-21,5.382256924752342e-18,1.0376398757728737e-11,1.9364472385206954e-23
ECFP2,2.3697096172937399e-07,0.0017605567014785293,1.0,1.0,0.827345093380442,0.0017072799071569972,1.0553913433278359e-05,0.02433040855696536,1.0,3.283422401224479e-05,0.052256280535027004,1.988659777791193e-07,5.108709228788132e-07,0.28762152386836054,8.925744132384062e-08
ECFP4,7.438662186559387e-05,3.0317016813069923e-09,1.0,1.0,1.0,0.17820390974030229,0.0017682464850923907,1.0,1.0,0.0069821006791956144,1.0,7.462480153693017e-05,0.00021956924802981722,1.0,1.9041540588547084e-05
ECFP6,1.179798859856848e-05,6.876490997376302e-13,0.827345093380442,1.0,1.0,0.16247373056072256,0.002924424276308339,1.0,1.0,0.020069426491115455,1.0,2.9066856627707216e-06,4.036998148156137e-05,1.0,3.783083682880057e-05
MACCs,1.0,1.901826342566612e-15,0.0017072799071569972,0.17820390974030229,0.16247373056072256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6218354779357952,1.0,1.0
Map4,1.0,2.4171458285562216e-19,1.0553913433278359e-05,0.0017682464850923907,0.002924424276308339,1.0,1.0,1.0,0.2699623165014906,1.0,1.0,1.0,1.0,0.18974780938820507,1.0
Mordred,0.2461745359037142,1.2352036062450596e-13,0.02433040855696536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21188197930880684,0.08326441407719008,1.0,0.286200173152983
Ph4,0.025237636096828005,1.1582631305157963e-05,1.0,1.0,1.0,1.0,0.2699623165014906,1.0,1.0,0.29050096288203414,1.0,0.045500315572746704,0.017321220890375792,1.0,0.03969141357193583
Pubchem,1.0,3.2585157019372693e-18,3.283422401224479e-05,0.0069821006791956144,0.020069426491115455,1.0,1.0,1.0,0.29050096288203414,1.0,1.0,1.0,1.0,0.4663531357633498,1.0
RDK5,1.0,2.4515574012133096e-10,0.052256280535027004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7588175309622069,1.0,1.0
RDK6,1.0,1.0658010404407512e-21,1.988659777791193e-07,7.462480153693017e-05,2.9066856627707216e-06,1.0,1.0,0.21188197930880684,0.045500315572746704,1.0,1.0,1.0,1.0,0.004723312828594435,1.0
RDK7,1.0,5.382256924752342e-18,5.108709228788132e-07,0.00021956924802981722,4.036998148156137e-05,0.6218354779357952,1.0,0.08326441407719008,0.017321220890375792,1.0,0.7588175309622069,1.0,1.0,0.003901887906749725,1.0
RDKdes,0.006945007790735048,1.0376398757728737e-11,0.28762152386836054,1.0,1.0,1.0,0.18974780938820507,1.0,1.0,0.4663531357633498,1.0,0.004723312828594435,0.003901887906749725,1.0,0.01195971907526137
Secfp,1.0,1.9364472385206954e-23,8.925744132384062e-08,1.9041540588547084e-05,3.783083682880057e-05,1.0,1.0,0.286200173152983,0.03969141357193583,1.0,1.0,1.0,1.0,0.01195971907526137,1.0
