,Avalon,Cats2d,ECFP2,ECFP4,ECFP6,MACCs,Map4,Mordred,Ph4,Pubchem,RDK5,RDK6,RDK7,RDKdes,Secfp
Avalon,1.0,6.7807501664544784e-15,4.195275257107083e-08,0.006243649178573187,0.16054537372871577,1.0,1.0,0.20822939058812379,0.007374583465372498,1.0,0.3945987804658562,1.0,1.0,0.1701842032730969,1.0
Cats2d,6.7807501664544784e-15,1.0,0.001567215755257866,4.009356236825592e-09,1.88610083136047e-14,1.789604850730001e-14,1.5141476457189407e-20,4.218370129265498e-11,7.688956854374891e-07,7.286601848440171e-19,1.7953076303099506e-12,1.3867294719265443e-20,3.1892758241806816e-15,1.5977290048928435e-09,3.138718395603308e-26
ECFP2,4.195275257107083e-08,0.001567215755257866,1.0,0.18303500613033047,0.0004853871729062793,2.6400089134786654e-05,7.688956854374891e-07,0.0028926856248650823,1.0,1.2647987495002754e-05,0.05193088274112802,1.1605792851044579e-06,7.688956854374891e-07,0.11802817549010354,4.915429166581316e-11
ECFP4,0.006243649178573187,4.009356236825592e-09,0.18303500613033047,1.0,1.0,1.0,0.07421060129474362,0.3161094117675073,1.0,0.05655964536410555,1.0,0.0008303602558264249,0.028830857058294784,1.0,0.0004853871729062793
ECFP6,0.16054537372871577,1.88610083136047e-14,0.0004853871729062793,1.0,1.0,1.0,0.55636952909913,1.0,1.0,0.9052058123245794,1.0,0.02769191845657694,0.09083713036183912,1.0,0.004767826462467507
MACCs,1.0,1.789604850730001e-14,2.6400089134786654e-05,1.0,1.0,1.0,1.0,1.0,0.08316509070313653,1.0,1.0,1.0,1.0,1.0,0.6225229650111536
Map4,1.0,1.5141476457189407e-20,7.688956854374891e-07,0.07421060129474362,0.55636952909913,1.0,1.0,1.0,0.01855162857261985,1.0,0.9098341841318094,1.0,1.0,0.1701842032730969,0.39973341864625866
Mordred,0.20822939058812379,4.218370129265498e-11,0.0028926856248650823,0.3161094117675073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12972768677435823,1.0,1.0,0.1789633155439663
Ph4,0.007374583465372498,7.688956854374891e-07,1.0,1.0,1.0,0.08316509070313653,0.01855162857261985,1.0,1.0,0.0424968830870394,1.0,0.0003427012550006849,0.00019109468386585164,1.0,7.205631342075567e-06
Pubchem,1.0,7.286601848440171e-19,1.2647987495002754e-05,0.05655964536410555,0.9052058123245794,1.0,1.0,1.0,0.0424968830870394,1.0,1.0,1.0,1.0,0.1520674627908746,1.0
RDK5,0.3945987804658562,1.7953076303099506e-12,0.05193088274112802,1.0,1.0,1.0,0.9098341841318094,1.0,1.0,1.0,1.0,0.02202110048087403,1.0,1.0,0.20822939058812379
RDK6,1.0,1.3867294719265443e-20,1.1605792851044579e-06,0.0008303602558264249,0.02769191845657694,1.0,1.0,0.12972768677435823,0.0003427012550006849,1.0,0.02202110048087403,1.0,1.0,0.02190052510664367,1.0
RDK7,1.0,3.1892758241806816e-15,7.688956854374891e-07,0.028830857058294784,0.09083713036183912,1.0,1.0,1.0,0.00019109468386585164,1.0,1.0,1.0,1.0,0.5556160106143394,1.0
RDKdes,0.1701842032730969,1.5977290048928435e-09,0.11802817549010354,1.0,1.0,1.0,0.1701842032730969,1.0,1.0,0.1520674627908746,1.0,0.02190052510664367,0.5556160106143394,1.0,0.003427972928054568
Secfp,1.0,3.138718395603308e-26,4.915429166581316e-11,0.0004853871729062793,0.004767826462467507,0.6225229650111536,0.39973341864625866,0.1789633155439663,7.205631342075567e-06,1.0,0.20822939058812379,1.0,1.0,0.003427972928054568,1.0
