,Logistic,KNN,SVM,RF,ExT,Ada,Grad,XGB,CatB,MLP
0,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.4
3,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.8,0.8,0.8
4,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.5,0.5,0.8
5,0.75,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,0.0,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.75
6,0.8,0.5,0.0,0.5,0.4,0.8,0.4,0.4,0.5,0.5
7,0.3333333333333333,0.4,0.4,0.4,0.4,0.4,0.3333333333333333,0.4,0.4,0.3333333333333333
8,0.5,0.8,0.8,0.8,0.8,0.5,0.8,0.5,0.8,0.5
9,0.5,0.5,0.5,0.5,0.5,0.4,0.8,0.5,0.5,0.8
10,0.8,0.8,0.8,0.8,0.8,1.0,0.6666666666666666,0.8571428571428571,0.8,0.8
11,0.4,0.5,0.8,0.8,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.8,0.4
12,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.3333333333333333
13,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.4
14,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4,0.0,0.6666666666666666
15,0.8,0.8,0.5,0.8,0.8,0.8,0.5714285714285714,0.8,0.8,0.6666666666666666
16,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
17,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.75
19,0.4,0.5,0.5,0.5,0.5,0.2857142857142857,0.5,0.5,0.5,0.5
20,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4,0.0,0.4444444444444444
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
22,0.4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,0.4
23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.0,0.8,0.8,0.8,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.8,1.0
26,0.8,0.8,0.8,0.8,0.8,0.6666666666666666,0.8,0.8,0.8,0.8
27,0.5,0.5,0.5,0.5,0.8,0.4,0.5,0.5,0.5,0.5
28,0.75,0.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.75
29,1.0,0.8,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0
