,Logistic,KNN,SVM,RF,ExT,Ada,Grad,XGB,CatB,MLP
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5
3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666
4,0.8,0.5,0.8,0.8,0.8,0.8,0.6666666666666666,0.8,0.8,0.8
5,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
6,0.6666666666666666,0.0,0.5,0.5,0.8,0.8,0.8,0.5,0.5,0.5714285714285714
7,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.4,0.4,0.5,0.4
8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
9,0.8,0.0,0.8,0.8,0.8,0.4,0.8,0.8,0.8,1.0
10,0.8,0.0,0.8,0.8,0.8,0.6666666666666666,0.8,0.8,0.8,0.8
11,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.5
12,0.3333333333333333,0.0,0.0,0.0,0.0,0.5714285714285714,0.4,0.0,0.0,0.0
13,0.8,0.6666666666666666,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
14,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5
15,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.4
16,0.5,0.5,0.5,0.5,0.8,0.4,0.6666666666666666,1.0,0.5,0.6666666666666666
17,0.8,0.5,0.8,0.8,0.8,0.5714285714285714,0.8,0.8,0.8,0.8
18,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.8
19,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.4
20,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.6666666666666666
21,1.0,0.0,1.0,1.0,1.0,0.8,0.4,0.6666666666666666,1.0,1.0
22,0.8,0.0,0.8,0.8,0.8,0.8571428571428571,0.8,1.0,0.8,0.8
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
25,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
26,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.4
27,0.4,0.5,0.5,0.5,0.5,0.4,0.0,0.5,0.4,0.5
28,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
