,Logistic,KNN,SVM,RF,ExT,Ada,Grad,XGB,CatB,MLP
0,0.8,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
1,0.8,0.5,0.5,0.8,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
2,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5
3,1.0,0.5,0.8,0.8,0.8,0.6666666666666666,0.8,0.8,0.8,0.8
4,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5,0.5,0.5,0.5,0.8,0.8,0.5,0.8,0.5,0.8
7,0.6666666666666666,0.0,0.5,0.5,0.5,0.5,0.5,0.4444444444444444,0.5714285714285714,0.5714285714285714
8,0.8571428571428571,0.0,1.0,0.75,0.6666666666666666,0.8571428571428571,0.6666666666666666,1.0,0.75,0.6666666666666666
9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.6666666666666666,0.8,0.6666666666666666
11,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
13,0.8,0.0,0.8,0.6666666666666666,0.5714285714285714,0.8,0.6666666666666666,0.8,0.6666666666666666,0.5714285714285714
14,0.4,0.4,0.3333333333333333,0.4,0.5714285714285714,0.75,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.8571428571428571
15,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
16,0.4,0.5,0.5,0.0,0.0,0.4,0.0,0.4,0.0,0.4
17,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5
19,1.0,0.5,0.5,0.5,0.5,0.6666666666666666,0.8,0.8,0.8,0.8
20,0.8,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.5714285714285714,0.6666666666666666,0.8,0.8
21,0.5,0.0,0.0,0.0,0.4,0.0,0.4,0.5,0.0,0.0
22,0.8,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
23,1.0,0.5,1.0,1.0,0.8571428571428571,1.0,0.75,0.8571428571428571,1.0,1.0
24,0.8,0.5,0.5,0.5,0.8,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6666666666666666
25,0.8,0.5,0.6666666666666666,0.8571428571428571,0.6666666666666666,1.0,0.8571428571428571,0.8571428571428571,0.6666666666666666,1.0
26,0.4,0.5,0.5,0.4,0.4,0.3333333333333333,0.4,0.5,0.4,0.4
27,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5
28,0.4,0.4,0.4,0.4,0.4,0.3333333333333333,0.4,0.4,0.4,0.4
29,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5
